OverviewPage,Short,Location,Region,IsDisbanded,RenamedTo
Super Sunshine Fruit Basket Warriors,SSFW,,North America,1,
SuperEsports,SE,Taiwan,LMS,1,
SuperHype Gaming,SHG,Vietnam,SEA,1,
SuperMassive Academy,SUP.A,Turkey,Turkey,1,SuperMassive Blaze Academy
SuperMassive Blaze,SMB,,EMEA,1,Papara SuperMassive
SuperMassive Blaze Academy,SMB.A,,Turkey,1,
SuperMassive TNG,SUP TNG,Turkey,Turkey,1,
SuperNitro1,SN1,Poland,Europe,1,
Supernova,SN,North America,North America,0,
SuperStar,SS,South Korea,Korea,1,
Supremacy,SY,France,Europe,1,
Synthetic Esports,SYN,,North America,1,
Szata Maga,SM,Poland,Europe,1,
Szaty Bobra,SZB,Poland,EMEA,1,
Szef 6,S6,Poland,Europe,1,
T Show,TSW,Brazil,Brazil,1,
T.Bear Gaming,TBG,China,China,1,Suning
T1,T1,South Korea,Korea,0,
T1 Academy,T1.A,South Korea,Korea,0,
T1 Esports Academy,T1.EA,South Korea,Korea,0,
T3H Esports,T3H,United Kingdom,Europe,1,
Taco Gaming,TG,,North America,1,
Tainted Minds,TM,Australia,Oceania,1,
Tainted Minds Blue,TM.B,,Oceania,1,
Taipei Assassins,TPA,Taiwan,LMS,1,
Taipei Berserkers,TPB,Taiwan,LMS,1,
Taipei Bravo,TPB,Taiwan,Asia Pacific,1,
Taipei Snipers,TPS,Taiwan,LMS,1,
Talon Esports,TLN,Hong Kong,PCS,1,PSG Talon
Tan Chi Sa Gaming,TCS,China,China,1,
Tan'i eSports,TNI,Spain,EMEA,0,
Tatoo,Tatoo,South Korea,Korea,1,Young Boss
Taurus Esports,TAU,Spain,EMEA,1,
Leviathans,LVT,,Europe,1,
LGD Gaming,LGD,China,China,0,
LGD Gaming Young Team,LGDY,China,China,0,
Liberty,LBR,Brazil,Brazil,0,
Liberty Academy,LBR.A,Brazil,Brazil,0,
Liberty Zeal Queue,LZQ,China,China,1,
Life Support,LFS,North America,North America,1,
Liiv SANDBOX,LSB,South Korea,Korea,1,FearX
Liiv SANDBOX Academy,LSB.A,South Korea,Korea,1,FearX Academy
Liiv SANDBOX Youth,LSB.Y,South Korea,Korea,1,FearX Youth
Lille Esport,LIL,France,EMEA,0,
LinG,LNG,China,China,1,
LinGan e-Sports,LGE,China,China,1,
Lionscreed,LC,United Kingdom,EMEA,1,
LionsCreed Baltics,LC,United Kingdom,Europe,1,
Lionscreed Lionesses,LC.L,United Kingdom,EMEA,1,
LiT Esports,LIT,,North America,0,
LIT Team,LIT,,PCS,0,
Little Hippo,LITT,South Korea,Korea,1,
Little Wraith,LW,Australia,Oceania,1,
Live Gaming Ascension,LGA,Chile,LAS,1,Beast Mode
Liyab Esports,LYB,Philippines,PCS,1,
LK Gaming,LK,Spain,EMEA,0,
LMQ,LMQ,China,North America,1,Team Impulse
LNG Academy,LNG.A,,China,0,
LNG Esports,LNG,China,China,0,
Lobstar,LOB,Italy,EMEA,0,
Logi-A Team,LAT,Taiwan,LMS,1,
Login Esports,LGN,,EMEA,1,
Logitech G Snipers,LGS,Taiwan,LMS,1,
LogiX,logiX,Germany,Europe,1,
LoL Academia,LAE,Panama,LAN,1,
London Esports,LDN,United Kingdom,Europe,1,
Longzhu Gaming,LZ,China,Korea,1,
Looking for ORG (Turkish Team),LFO,Turkey,EMEA,1,
Los Grandes,LOS,Brazil,Brazil,0,
Los Grandes Academy,LOS.A,Brazil,Brazil,0,
Los Heretics,HRTS,Spain,EMEA,0,
Los Leones de Badajoz,LOS,Spain,Europe,1,
Lost Draft,LOST,North America,North America,1,Bawk Bawk
Lost Esports,LE,United Arab Emirates,MENA,1,
Loto Gaming,LTG,Colombia,Latin America,1,
Lotus (North American Team),LTS,,North America,0,
Lotus Bloom,LBL,United States,North America,1,
Lotus Esports (2019 North American Team),LTS,United States,North America,1,
Lotus Exiles,LE,,North America,1,
Lotus Gaming (European Team),LTG,Lithuania,EMEA,1,
Lotus Knights,LK,Spain,EMEA,0,
LOUD,LLL,Brazil,Brazil,0,
LOUD Academy,LLL.A,Brazil,Brazil,0,
Louisiana State University,LSU,,North America,0,
Lourdes University,LU,,North America,0,
Low Pressur3 Gaming,LP3,Peru,Latin America,1,
Low Priority,Low P,Europe,Europe,1,
Lowkey Esports,LK,,North America,1,
Lowkey Esports.Vietnam,LK,United States,Vietnam,1,
LowLandLions,LION,Belgium,Europe,1,
LowLandLions.Black,LLL.B,Netherlands,Europe,1,
LowLandLions.White,LLL.W,Netherlands,Europe,1,
LP Gaming,LPG,Vietnam,Vietnam,0,
LUA Gaming,LUA,Spain,EMEA,0,
Lublin Shore,LBS,Poland,Europe,1,
Lucent Esports,LCT,United Kingdom,EMEA,1,
Lucky Esports,LKY,,North America,1,Aqualix Esports.NA
LUL Esports,LUL,Greece,Europe,1,
Luminox Planet,LP,,EMEA,1,
Lunary,LNY,France,EMEA,1,
Lundqvist Lightside,LLS,Sweden,EMEA,0,
Lupus Esports,LUP,Serbia,EMEA,0,
Luxor Gaming,LXG,Peru,Latin America,1,
Luxury Esports,LX,Vietnam,Vietnam,1,
Lycos eSports,LYC,Italy,Europe,1,
Lynch Esports,LY,Turkey,EMEA,0,
Lynx (Oceanic Team),LX,,Oceania,1,
Lyon Gaming (2013 Latin American Team),LYN,Mexico,LAN,1,Rainbow7
Lyon Gaming (2017 Latin America North Team),Lyon,Mexico,Latin America,1,
M19,M19,Russia,CIS,1,
Macao Esports,MOE,Macao,LMS,1,
Machi 17,Machi 17,Taiwan,LMS,1,
Machi Crew,MC,Taiwan,LMS,1,
Machi Esports,MCX,Taiwan,PCS,1,
MachiX,MCX,Taiwan,LMS,1,
Macko Academy,MCK.A,Italy,EMEA,0,
Macko Esports,MCK,Italy,EMEA,0,
Macro Maniacs,MCM,Turkey,Turkey,1,
Mad Dragon,MAD,Hong Kong,LMS,1,
MAD Gaming,MAD,Brazil,Brazil,1,
MaD Gaming MX,MaD MX,Mexico,LAN,1,
Mad Gods Gaming,Mad Gods,Greece,Europe,1,
Mad Kings,MKE,Peru,Latin America,1,
MAD Lions Academy,MAD.A,Spain,Europe,1,
MAD Lions E.C.,MAD,Spain,Europe,1,MAD Lions Madrid
MAD Lions E.C. Colombia,MLC,Spain,Latin America,1,
MAD Lions E.C. Mexico,MLM,Spain,Latin America,1,
MAD Lions KOI,MDK,Spain,EMEA,0,
MAD Lions KOI Female,MDK.F,Spain,EMEA,0,
MAD Lions Madrid,MADM,Spain,Europe,1,
Mad Revolution Gaming,MAD,Costa Rica,Latin America,1,
MAD Team,MAD,Taiwan,LMS,1,
Made in France,MiF,France,Europe,1,
Maelstrom Esports,ME,,North America,0,
Maestro V Esports,MSV,Poland,EMEA,1,
MAGAZA,MGZ,Bulgaria,EMEA,0,
Magistra,MGT,Denmark,Europe,1,
Magna Esports,MGN,Spain,EMEA,1,
Majestic Lions,ML,Czech Republic,Europe,1,
Malvinas Gaming,MVG,Argentina,Latin America,0,
MAMMOTH,MEC,Australia,Asia Pacific,0,
Mammoth Academy,MMMA,Australia,Oceania,1,
ManaLight,ML,United Kingdom,Europe,1,
Manguste AT,MNG.AT,Italy,Europe,1,
Manguste eSports,MNG,Italy,Europe,1,
Manila Eagles,MLE,Philippines,SEA,1,
Maroon Bells,MB,Poland,Europe,1,
Marvelous Gamers Brotherhood,MGB,China,China,1,
Maryville University,MU,,North America,0,
Mashallah Gaming,MASH,France,Europe,1,
Masonic,MSC,Denmark,Europe,1,
Master Girl,MG,China,China,1,
Master of Chicken Gaming,MCG,Japan,Japan,1,
Masters 3,M3,China,China,1,
MattyUSA LODIS,LUSA,Poland,EMEA,0,
Maturalni Forsaken Academy,MFA,Poland,EMEA,1,
Maverix,MVX,Czech Republic,EMEA,0,
MAX (Chinese Team),MAX,China,China,0,
Max Tigers,MAX,Colombia,Latin America,1,
Maximal,MAX,Vietnam,Vietnam,1,UTM Esports
Mayan Esports,MYN,Guatemala,Latin America,1,
Maycam Evolve,EV,Argentina,Latin America,1,
Maze (Brazilian Team),MZE,Brazil,Brazil,1,
Maze Gaming,MAZ,Chile,Latin America,0,
MCES Italia,MCES.IT,Italy,Europe,1,
MCES Italia Academy,MCES.IT,Italy,Europe,1,
MCon esports,MCON,Netherlands,EMEA,0,
MCon esports Rotterdam Academy,MCN.A,,Europe,1,
MD E-sports Club,MD,China,China,1,
Meat Playground,MP,North America,North America,1,
Meavedron,MVE,Poland,EMEA,0,
Medieval Riga,MDVL,Latvia,Europe,1,
MeetYourMakers,MYM,Germany,Europe,1,
MeetYourMakers.LAN,MYM.LAN,Germany,LAN,1,
MeetYourMakers.TR,MYM.TR,Germany,Turkey,1,
MEGA,MG,Thailand,SEA,1,
Meloncats,MC,Europe,Europe,1,
Melty eSport Club,MTY,France,Europe,1,
Meme City Esports,MCE,United States,North America,0,
Meme Stream Dream Team,MSDT,,North America,1,
Meow Gaming Club,MEOW,Netherlands,EMEA,1,
Mercenaries,MERC,,North America,1,
Merciless Gaming,MGG,Brazil,Brazil,1,
Merciless Gaming Academy,MGG.A,Brazil,Brazil,1,
Meta Falcon Team,MFT,Taiwan,PCS,1,
Meta Gaming,MG,Paraguay,Latin America,0,
Method2Madness,M2,United Kingdom,Europe,1,
Mezexis Esports,MZS,Dominican Republic,Latin America,1,
MF Gaming,MFG,China,China,1,
MGN Blue Esports,MBE,Vietnam,Vietnam,0,
Mgutis' Saplings,MS,,North America,1,
MHSC Esport,MHSC,France,EMEA,0,
Miami University,MU,,North America,0,
MiaoJing,MJ,China,China,0,
MIBR,MIBR,Brazil,Brazil,0,
Michigan State University,MSU,,North America,0,
Midas FIO,FIO,South Korea,Korea,1,
Midnight Sun Esports,MSE,Taiwan,LMS,1,
MiG Blitz,MIG.B,South Korea,Korea,1,
Mighty Eagle,ME,China,China,1,
Millenium,MIL,France,Europe,1,
Millenium Spirit,MSP,France,Europe,1,
Mind Blue eSports,MB,,EMEA,0,
Miners,NMG,Brazil,Brazil,1,
Miners Academy,NMG.A,,Brazil,1,
Miners Female,NMG.F,Brazil,Brazil,1,
Mineski,MSK,Philippines,SEA,1,Liyab Esports
Minus Three,M3,,North America,1,
Miracle (North American Team),MRC,Canada,North America,1,
Miracle Gaming,M1,Spain,Europe,1,
Mirage Alliance,MA,United States,North America,0,
Mirage Alliance Baguette,MA.B,,North America,0,
Mirage Alliance Developmental,MIR.D,United States,North America,1,
Mirage Élite,MEC,,North America,0,
Mirage Elyandra,ME,Canada,Europe,1,
MiraGe Gaming,MiraGe,South Korea,Korea,1,
Mirage Oasis,MIR.O,Canada,North America,1,
Mirage Sport Électronique,MIR,,North America,1,
Misa Esports,MISA,Turkey,EMEA,0,
Misfits (2024 North American Team),MF,,North America,1,
Misfits Academy,MSF.A,United States,Europe,1,Misfits Premier
Misfits Gaming,MSF,United States,Europe,1,
Misfits Premier,MSFP,United States,Europe,1,
Missouri Valley College,MVC,,North America,0,
MiTH Flashdive,MiTH FD,Thailand,SEA,1,
MizzouEsports,MIZZ,,North America,0,
MJ-Esports,MJ,Finland,Europe,1,
Mkers,MKS,Italy,Europe,1,
Mkers Academy,MKS.A,Italy,Europe,1,
MKZ,MKZ,South Korea,Korea,1,
MLGB E-SPORTS CLUB,MLGB,,North America,1,
MNM Gaming,MNM,United Kingdom,Europe,1,
MnM Gaming Academy,MnM.A,United Kingdom,Europe,1,
MOBA ROG,MOR,Italy,Europe,1,
Monkey Mafia,MM,Greece,Europe,1,
Monolith Gaming,MNL,Russia,CIS,1,
Monomaniac eSports,MME,United States,North America,1,
MorningStar Legends,MSL,,North America,1,
MorningStar White,MSW,,North America,1,
Mortal Teamwork,MTW,Germany,Europe,1,
Mortality eSports,MRT,,North America,1,
Moscow Five,M5,Russia,Europe,1,
Moscow Five.CIS,M5,Russia,CIS,1,
Moss Seven Club,MSC,China,China,1,
Motion,MOTN,,North America,0,
Mount Olympus,MOGG,,North America,1,
MOUZ NXT,NXT,Germany,EMEA,0,
Movistar KOI,KOI,Spain,EMEA,0,
Movistar Optix,MOX,Chile,Latin America,1,
Movistar R7,R7,Mexico,Latin America,0,
Movistar Riders Academy,MRS.A,Spain,Europe,1,
Movistar Riders Blue,MRS.B,Spain,Europe,1,
MS Company,MS,France,EMEA,1,
MSI Evolution Gaming Team,MSI,Philippines,SEA,1,
MTP Esport,MTP,France,EMEA,1,
MTW Gaming,MTW,Germany,Europe,1,
MTw North America,MTW,United States,North America,1,
Mübeccel Espor,MCER,Turkey,EMEA,1,
Munster Rugby Gaming,MRG,Republic of Ireland,EMEA,1,
Munster Rugby Gaming Academy,MRG.A,Republic of Ireland,Europe,1,
Murk Esports,MRK,,North America,1,
MVP,MVP,South Korea,Korea,1,
MVP Blue,MVP.B,South Korea,Korea,1,
MVP Ozone,MVP.O,South Korea,Korea,1,
MVP Red,MVP.R,South Korea,Korea,1,
MYIDOL Esports,MYI,Tunisia,MENA,1,
MYinsanity,MYI,Switzerland,EMEA,0,
MyRevenge,myR,Germany,Europe,1,
MyRevenge Chile,myR CL,Germany,LAS,1,
Mysterious Monkeys,MM,Germany,Europe,1,ad hoc gaming
Mysterious Monkeys.ESLM,MM.ESLM,Germany,Europe,1,
Mystic Gaming (Emirati Team),MYC,United Arab Emirates,MENA,0,
Myth Esports,MYTH,,EMEA,0,
Mythos Gaming,MYT,United Kingdom,Europe,1,
Mythus Esports,MYT,,SEA,0,
N!faculty,FAC,Germany,Europe,1,
Naga Esports,Naga,Philippines,SEA,1,
Naguara Mexico,NE,Argentina,Latin America,1,
Naguara Team,NE,Argentina,Latin America,1,
NaJin Black Sword,NJBS,South Korea,Korea,1,
NaJin e-mFire,NJF,South Korea,Korea,1,e-mFire
NaJin White Shield,NJWS,South Korea,Korea,1,
NALCS Players Association,NALCSPA,United States,North America,0,
Nameless Randoms,NR,,North America,1,
Nameless Thieves,NT,,North America,1,
Napkins in Disguise,NID,North America,North America,1,
NARCIS,NRC,Czech Republic,EMEA,1,H3ARTS
Nash Ξquilibrium,NASH,Germany,Europe,1,
NASR eSports,NSR,United Arab Emirates,MENA,1,
NASR eSports Jr.,NASR.JR,United Arab Emirates,MENA,1,
NASR eSports Turkey,NASR,United Arab Emirates,EMEA,0,
NASR eSports Turkey Academy,NASR.A,United Arab Emirates,Turkey,1,
NAT,NAT,Italy,Europe,1,
Nate.A,NTA,Taiwan,PCS,1,
Nate9527,NAT,Taiwan,PCS,1,
Native Gaming,N8V,United States,North America,1,
Nativz,NTZ,Republic of Ireland,EMEA,0,
Natus Vincere,Na'Vi,Ukraine,Europe,1,
Natus Vincere.CIS,NV.CIS,Ukraine,CIS,1,
NDurance Gaming,nD,Norway,Europe,1,
NEB,NEB,South Korea,Korea,1,
NecroRaisers,NR,Slovakia,Europe,1,
NeL,NeL,South Korea,Korea,1,
Neolution E-Sport Nemesis,Neo.N,Thailand,SEA,1,
Neon Esports,NE,Turkey,Europe,1,
NEophyte,NEPH,Czech Republic,Europe,1,
NerdRage,nR,United Kingdom,Europe,1,
Nerf Galeforce,NGF,,Europe,1,
Neronity,NERO,Romania,Europe,1,Team Nerotec
Nerv,NRV,Belgium,Europe,1,
Neurons,NEU,Taiwan,LMS,1,
Never Give Up,NGU,Taiwan,LMS,1,
NeverBack Gaming,NB.,Spain,Europe,1,
New Dynasty,ND,Netherlands,Europe,1,Dynasty
New Era,ERA,Greece,EMEA,0,
New World Eclipse,NWE,North America,North America,1,
Newbee,NB,China,China,1,
Newbee Young,NBY,China,China,1,
Newell's Esports,NOB,Argentina,Latin America,1,
Newstar,N5R,,Latin America,1,
Nex Impetus,neXi,Brazil,Brazil,1,
Next Gen Esports,NGE,Vietnam,SEA,1,
Next Level Esports,NLE,,North America,0,
NextGaming,NxG,Italy,Europe,1,
NeXtPlease! Gaming,NPG,Romania,Europe,1,
Nexus KTRL,NXK,Romania,Europe,1,
Nibble Gaming,NBG,Japan,Japan,1,
Nigel's Last Tiles,TILE,,North America,1,Guangdong Flying Tigers
Nightblood Gaming,NBG,United States,North America,0,
Nigma Galaxy,NGX,United Arab Emirates,Europe,1,
Nigma Galaxy Male,NGX,United Arab Emirates,EMEA,0,
Nigma Galaxy MENA,NGX.MN,United Arab Emirates,MENA,1,
Ninjas in Pyjamas,NIP,Sweden,Europe,1,
Ninjas in Pyjamas.CN,NIP,Sweden,China,0,
NK Osijek Esport,NKOS,Croatia,Europe,1,
NLD eSports,NLD,Greece,Europe,1,
NNO Prime,NNO,Germany,EMEA,0,
NNOwO,NNO,Germany,EMEA,1,
No Ace,NACE,,North America,1,
No Dice Gaming,NDG,,North America,1,
No Game No Life,NGL,Hong Kong,LMS,1,
No Name (North American Team),NN,,North America,1,
No Need Orga,NNO,Germany,EMEA,0,
No Org,NO,,North America,1,
No Team,NOT,,North America,1,
Noah's Ark,NA,China,China,1,
Noble Esports,NOB,,North America,1,
Noble Truth,NTR,United States,North America,1,
NOCTA,NOC,Colombia,Latin America,1,
Nocturns Gaming,NG,Argentina,Latin America,1,
NoFancy,NFC,Hong Kong,LMS,1,
NONAME (Turkish Team),NON,,EMEA,0,
Nongshim Esports Academy,NS.EA,South Korea,Korea,0,
Nongshim RedForce,NS,South Korea,Korea,0,
Nongshim RedForce Academy,NS.A,South Korea,Korea,0,
NonHK,NHK,Hong Kong,LMS,1,
Noot Noot eSports,NN,,Europe,1,
NORD Esports,NORD,,EMEA,0,
NORD Polaris,NORD,,EMEA,0,
Nordavind,NVD,Norway,Europe,1,00 Nation
Nordavind Black,NVD.B,Norway,Europe,1,
Nordavind Talent,NVD.T,Norway,Europe,1,00 Prospects
Nordavind White,NVD.W,Norway,Europe,1,
North (2018 European Team),NOR,Denmark,Europe,1,
North Carolina State University,NCSU,,North America,0,
Northeastern University,NU,,North America,0,
Northern Lions Esports,NLE,,EMEA,1,
Northwood University,NU,,North America,0,
Not Academy Team,NAT,,North America,1,
Nova Dragons,NVD,Peru,Latin America,1,
Nova eSports (North American Team),NVA,United States,North America,1,
Nova Esports (Thai Team),NOV,,PCS,1,
Novasphere Gaming,NSG,,North America,0,
NOVO Esports,NOVO,Italy,EMEA,0,
Novus Tempus,NT,Chile,LAS,1,
Now or Never,NON,China,China,1,
NOX Esports,NOX,United Kingdom,Europe,1,
NRAX Esports,NRAX,Poland,EMEA,1,
NRG,NRG,North America,North America,0,
NRG Challengers,NRGC,North America,North America,1,
Nuit Blanche,NBL,France,Europe,1,
Nuke Hunters,NH,,North America,1,
NumberOne Esports,NR1,Turkey,Turkey,1,
Nuovo Gaming,NVO,Australia,Oceania,1,
NVision Esports,NV,United Kingdom,Europe,1,
NXT,NXT,,EMEA,1,
NYYRIKKI,NKI,Finland,Europe,1,
NYYRIKKI Academy,NKI.A,Finland,Europe,1,
NYYRIKKI Blue,NKI.B,Finland,Europe,1,NYYRIKKI Academy
NYYRIKKI White,NKI.W,Finland,Europe,1,NYYRIKKI
O'Gaming TV,OGTV,France,EMEA,0,
Oakland University,OU,,North America,0,
Obnoxious Gaming,NOX,United Kingdom,Europe,1,NOX Esports
ODD Wara,ODD.W,Mexico,Latin America,0,
ODIN Gaming,ODN,Argentina,Latin America,1,
Odivelas Sports Club,OSC,Portugal,EMEA,0,
Odyssey Gaming,ODY,United States,North America,1,Team Imagine
OffLimits,OFF,Italy,Europe,1,
OFFSET Esports,OFF7,Portugal,Europe,1,
OG Esports,OGE,Costa Rica,Latin America,1,
OGC Esports,OGC,Czech Republic,EMEA,0,
OGC Sigma Esports,OSE,Czech Republic,EMEA,1,OGC Esports
Oh My Girls,OMGirls,China,China,1,
Oh My God,OMG,China,China,0,
Oh My God 2,OMG 2,China,China,1,
Oh My God Academy,OMG.A,China,China,0,
Ohio Northern University,ONU,,North America,0,
Ohio State University,OSU,,North America,0,
OKGG White,OKGG.W,Spain,Europe,1,
Okinawan Tigers,OT,Japan,Japan,1,
Oklahoma Christian University,OCU,,North America,0,
OKSavingsBank BRION,BRO,South Korea,Korea,0,
OKSavingsBank BRION Academy,BRO.A,South Korea,Korea,0,
OKSavingsBank BRION Challengers,BRO.C,South Korea,Korea,0,
Old Hunters,OHT,Chile,LAS,1,
Olympiacos Alimou,GOAL,Greece,Europe,1,
Olympus Gaming,OLY,Morocco,MENA,1,
Omega Gaming,OMG,United States,North America,1,Mirage Alliance
Omerix Esport,OX,France,EMEA,0,
Once Caldas Esports,OC,Colombia,Latin America,1,
Once Upon A Team,OUAT,,EMEA,0,
One Breath Gaming,OBG,United Kingdom,CIS,1,
One More Esports,1M,Morocco,EMEA,0,
One Piece eSports,OPE,Hungary,Europe,1,
ONE SEVEN EIGHT,OSE,Macao,LMS,1,
One Trick Production,OTP,France,EMEA,0,
One Way Esports,OWE,,EMEA,1,
Only Heroes Academia,OHA,Turkey,EMEA,0,
OnlyGame,OG,China,China,1,
Onoda Esports,ONODA,Colombia,Latin America,1,
Onyx Esports,ONYX,Malaysia,SEA,1,
Onyx Ravens,OXR,Saudi Arabia,EMEA,0,
OP Gaming,OPG,South Korea,Korea,1,
OP innogy eSport,OP,Germany,Europe,1,E WIE EINFACH E-SPORTS
OpenMidPlease,OMP,Taiwan,LMS,1,
Operation Kino e-Sports,OPK,Brazil,Brazil,1,
OpTic Gaming,OPT,United States,North America,1,Immortals
OpTic Gaming Academy,OPT.A,United States,North America,1,Immortals Academy
Optical spectrum E-sport,OSE,China,China,1,
Optimization Gaming,OG,Greece,Europe,1,
Optimum Cowboys,OC,United Kingdom,Europe,1,
Option 33,O33,,North America,1,
OQ (North American Team),OQ,,North America,1,
Orange Esports,ORG,Malaysia,SEA,1,
Orbit Anonymo Esports,OAE,Poland,EMEA,0,
Orbit Gaming,ORB,United States,North America,1,
ORDER,ORD,Australia,Oceania,1,
ORDER Academy,ORDA,Australia,Oceania,1,
Ordinance Gaming,OG,North America,North America,1,
Ordo Equitum,OE,Mexico,LAN,1,
Orgless,ORGL,,North America,1,
Origen,OG,Denmark,Europe,1,Astralis
Origen Academy,OG.A,Spain,Europe,1,
Origen BCN,OGB,Denmark,Europe,1,BCN Squad
Origen ESP,OGE,Spain,Europe,1,
Original Gaming,OG,,Vietnam,0,
Origine Online,Origine,France,Europe,1,
Orion Esport,OR,Spain,Europe,1,
Osaka,OSK,Colombia,Latin America,0,
Oserv Esport,OSV,France,EMEA,0,
Osh-Tekk Warriors,OTW,,MENA,0,
Osos Mafiosos,OSM,Ecuador,LAN,1,
Östersunds FK Esports,OFK,Sweden,Europe,1,FALKN
Ottawa University,OU,,North America,0,
Our Last Dance,OLD,,North America,1,
Out of the Blue,OOB,France,Europe,1,
Outlaws,OLW,Australia,Oceania,1,
Outlawz,OTL,Greece,Europe,1,
Outplayed Academy,OP.A,Italy,Europe,1,
OuYi Game Team,OY,,China,1,
Over Power Gaming Center,OPGC,Iraq,MENA,0,
Overdrive,OVD,Japan,Japan,1,
OverGaming,OG,Spain,Europe,1,
Overload (Brazilian Team),OVL,Brazil,Brazil,1,
OverMinds,OVM,Algeria,MENA,0,
OverPower Esports,OPG,,Vietnam,1,
Ownerd e-Sports,OWN,Brazil,Brazil,1,
Oxygen Gaming,O2G,Spain,EMEA,0,
Oxygen Kumiho,O2K,Spain,EMEA,1,Oxygen Gaming
Oxygen Valiants,O2V,Spain,EMEA,1,
Oyun Hizmetleri,OH,Turkey,Turkey,1,
Oyun Hizmetleri CILEKLER,OHC,Turkey,Turkey,1,
OZ Gaming,OZ,South Korea,Korea,1,
P11 Esports,P11,Italy,Europe,1,
P3P eSports,P3P,Turkey,Turkey,1,
Pacific eSports,PCFC,Philippines,SEA,1,
Packa Pappas Kappsäck,PPK,Sweden,Europe,1,
Packmiko E-Sports,PMK,Germany,EMEA,0,
PaiN Gaming,PNG,Brazil,Brazil,0,
PaiN Gaming Academy,PNG.A,Brazil,Brazil,0,
PaiN Gaming Female,PNG.F,Brazil,Brazil,1,
PainGaming,PG,Spain,Europe,1,
Palisade Esports,PAL,,North America,1,
PAM eSports,PAM,Spain,Europe,1,FEN1X eSports
Pampas,PAM,Argentina,Latin America,1,
Panathinaikos AC eSports,PAO,Greece,EMEA,1,
Panda Cub Hugging Club,PCHC,Singapore,SEA,1,
PandaCute,PDQ,,LMS,1,
Pandy Pandas,PAND,,North America,1,
PANTHERS Gaming,PG,Germany,Europe,1,
Papara SuperMassive,SUP,Turkey,EMEA,0,
Parabellum Esports,PRB,,North America,1,
Paradox Gaming,PDG,Malaysia,SEA,1,
Parakeet Gaming,PKG,Spain,EMEA,0,
Paris Saint-Germain eSports,PSG,France,Europe,1,
Park University,PU,,North America,0,
Pars eSports,Pars,Turkey,Turkey,1,
Partizan Esports,PAR,Serbia,EMEA,0,
Pathos,PTS,South Korea,Korea,1,
Pawn Gaming (Spanish Team),PWN,Spain,Europe,1,
PCHunter,PCH,Italy,Europe,1,
PCIFIC Espor,PCF,,EMEA,0,
PCS Taran,PCS.T,France,EMEA,1,
PDK Sideral,PDK,Spain,EMEA,1,
PDW,PDW,,Europe,1,
PEACE (Oceanic Team),PCE,Australia,PCS,1,
Peach Cats,PC,,North America,1,
Peak Performance,PPE,United States,North America,0,
Peak Performance X,PPX,United States,North America,0,
Peak Performance Y,PPY,United States,North America,0,
Peak Performers (North American Team),PP,,North America,0,
Peculiar gaming,P,Germany,Europe,1,
Pee N W's,PEE,,North America,0,
PÊEK Gaming,PK,Mexico,Latin America,0,
PeesPlay Gaming,PPG,Brazil,Brazil,1,
Pegasus Esports,PGS,Egypt,EMEA,0,
PENTA 1860,PTA,Germany,Europe,1,
Pentagon Maze,PM,Greece,Europe,1,Pentagon Rejects
Pentagon Rejects,PTR,Greece,EMEA,0,
PENTAGRAM,PGM,Japan,Japan,1,
Pentakill.gr,5K,Greece,Europe,1,
Pentanet.GG,PGG,Australia,Asia Pacific,1,
Pentanet.GG Rise,PGGR,Australia,Oceania,1,
Future Perfect Blue,FPB,Russia,CIS,1,
Future Perfect Demacia,FPD,Russia,CIS,1,
Future Perfect Ionia,FPI,Russia,CIS,1,
Future Perfect Noxus,FPN,Russia,CIS,1,
Future Perfect Orange,FPO,Russia,CIS,1,
Future Perfect Purple,FPP,Russia,CIS,1,
Future Perfect UA,FPU,Russia,CIS,1,
Future Perfect Zaun,FPZ,Russia,CIS,1,
FXOpen e-Sports,FXO,North America,North America,1,To Be Determined
Fylkir Esports,FYL,Iceland,Europe,1,
G-Pride,GP,Peru,Latin America,1,
G-Rex,GRX,Hong Kong,Asia Pacific,1,
G-Rex Infinite,GRI,Hong Kong,LMS,1,
G2 Arctic,G2AR,,Europe,1,
G2 Esports,G2,Germany,EMEA,0,
G2 Hel,G2H,Germany,EMEA,0,
G2 Heretics,G2H,,Europe,1,
G2 Vodafone,G2V,Spain,Europe,1,
G3nerationX,g3x,Brazil,Brazil,1,
Gaia Esports,GE,Italy,Europe,1,
Galactic Gamers,GLG,Mexico,LAN,1,Gaming Gaming
Galakticos,GAL,Turkey,EMEA,0,
Galakticos Academy,GAL.A,Turkey,Turkey,1,
Galatasaray Academy,GS.A,Turkey,Turkey,1,
Galatasaray Esports,GS,Turkey,Turkey,1,
Galaxy Racer Esports EU Female,GXR.EU,United Arab Emirates,Europe,1,Nigma Galaxy
Galaxy Racer Esports EU Male,GXR,United Arab Emirates,Europe,1,
Galaxy Racer Esports MENA Female,GXR,United Arab Emirates,EMEA,0,
Galaxy Racer Esports MENA Male,GXR,United Arab Emirates,MENA,1,Nigma Galaxy Male
GAM Esports,GAM,Vietnam,Vietnam,0,
Gama Dream,GD,China,China,1,
Gama E-Sport Dream,GED,China,China,1,
Gamania Bears,GAB,Taiwan,LMS,1,GashBears
Gambit Esports,GMB,Russia,CIS,1,
Gambit Gaming,GMB,United Kingdom,Europe,1,
Game Changers,GC,Greece,Europe,1,Team Phantasma
