OverviewPage,Short,Location,Region,IsDisbanded,RenamedTo
Super Sunshine Fruit Basket Warriors,SSFW,,North America,True,
SuperEsports,SE,Taiwan,LMS,True,
SuperHype Gaming,SHG,Vietnam,SEA,True,
SuperMassive Academy,SUP.A,Turkey,Turkey,True,SuperMassive Blaze Academy
SuperMassive Blaze,SMB,,EMEA,True,Papara SuperMassive
SuperMassive Blaze Academy,SMB.A,,Turkey,True,
SuperMassive TNG,SUP TNG,Turkey,Turkey,True,
SuperNitro1,SN1,Poland,Europe,True,
Supernova,SN,North America,North America,False,
SuperStar,SS,South Korea,Korea,True,
Supremacy,SY,France,Europe,True,
Synthetic Esports,SYN,,North America,True,
Szata Maga,SM,Poland,Europe,True,
Szaty Bobra,SZB,Poland,EMEA,True,
Szef 6,S6,Poland,Europe,True,
T Show,TSW,Brazil,Brazil,True,
T.Bear Gaming,TBG,China,China,True,Suning
T1,T1,South Korea,Korea,False,
T1 Academy,T1.A,South Korea,Korea,False,
T1 Esports Academy,T1.EA,South Korea,Korea,False,
T3H Esports,T3H,United Kingdom,Europe,True,
Taco Gaming,TG,,North America,True,
Tainted Minds,TM,Australia,Oceania,True,
Tainted Minds Blue,TM.B,,Oceania,True,
Taipei Assassins,TPA,Taiwan,LMS,True,
Taipei Berserkers,TPB,Taiwan,LMS,True,
Taipei Bravo,TPB,Taiwan,Asia Pacific,True,
Taipei Snipers,TPS,Taiwan,LMS,True,
Talon Esports,TLN,Hong Kong,PCS,True,PSG Talon
Tan Chi Sa Gaming,TCS,China,China,True,
Tan'i eSports,TNI,Spain,EMEA,False,
Tatoo,Tatoo,South Korea,Korea,True,Young Boss
Taurus Esports,TAU,Spain,EMEA,True,
Leviathans,LVT,,Europe,True,
LGD Gaming,LGD,China,China,False,
LGD Gaming Young Team,LGDY,China,China,False,
Liberty,LBR,Brazil,Brazil,False,
Liberty Academy,LBR.A,Brazil,Brazil,False,
Liberty Zeal Queue,LZQ,China,China,True,
Life Support,LFS,North America,North America,True,
Liiv SANDBOX,LSB,South Korea,Korea,True,FearX
Liiv SANDBOX Academy,LSB.A,South Korea,Korea,True,FearX Academy
Liiv SANDBOX Youth,LSB.Y,South Korea,Korea,True,FearX Youth
Lille Esport,LIL,France,EMEA,False,
LinG,LNG,China,China,True,
LinGan e-Sports,LGE,China,China,True,
Lionscreed,LC,United Kingdom,EMEA,True,
LionsCreed Baltics,LC,United Kingdom,Europe,True,
Lionscreed Lionesses,LC.L,United Kingdom,EMEA,True,
LiT Esports,LIT,,North America,False,
LIT Team,LIT,,PCS,False,
Little Hippo,LITT,South Korea,Korea,True,
Little Wraith,LW,Australia,Oceania,True,
Live Gaming Ascension,LGA,Chile,LAS,True,Beast Mode
Liyab Esports,LYB,Philippines,PCS,True,
LK Gaming,LK,Spain,EMEA,False,
LMQ,LMQ,China,North America,True,Team Impulse
LNG Academy,LNG.A,,China,False,
LNG Esports,LNG,China,China,False,
Lobstar,LOB,Italy,EMEA,False,
Logi-A Team,LAT,Taiwan,LMS,True,
Login Esports,LGN,,EMEA,True,
Logitech G Snipers,LGS,Taiwan,LMS,True,
LogiX,logiX,Germany,Europe,True,
LoL Academia,LAE,Panama,LAN,True,
London Esports,LDN,United Kingdom,Europe,True,
Longzhu Gaming,LZ,China,Korea,True,
Looking for ORG (Turkish Team),LFO,Turkey,EMEA,True,
Los Grandes,LOS,Brazil,Brazil,False,
Los Grandes Academy,LOS.A,Brazil,Brazil,False,
Los Heretics,HRTS,Spain,EMEA,False,
Los Leones de Badajoz,LOS,Spain,Europe,True,
Lost Draft,LOST,North America,North America,True,Bawk Bawk
Lost Esports,LE,United Arab Emirates,MENA,True,
Loto Gaming,LTG,Colombia,Latin America,True,
Lotus (North American Team),LTS,,North America,False,
Lotus Bloom,LBL,United States,North America,True,
Lotus Esports (2019 North American Team),LTS,United States,North America,True,
Lotus Exiles,LE,,North America,True,
Lotus Gaming (European Team),LTG,Lithuania,EMEA,True,
Lotus Knights,LK,Spain,EMEA,False,
LOUD,LLL,Brazil,Brazil,False,
LOUD Academy,LLL.A,Brazil,Brazil,False,
Louisiana State University,LSU,,North America,False,
Lourdes University,LU,,North America,False,
Low Pressur3 Gaming,LP3,Peru,Latin America,True,
Low Priority,Low P,Europe,Europe,True,
Lowkey Esports,LK,,North America,True,
Lowkey Esports.Vietnam,LK,United States,Vietnam,True,
LowLandLions,LION,Belgium,Europe,True,
LowLandLions.Black,LLL.B,Netherlands,Europe,True,
LowLandLions.White,LLL.W,Netherlands,Europe,True,
LP Gaming,LPG,Vietnam,Vietnam,False,
LUA Gaming,LUA,Spain,EMEA,False,
Lublin Shore,LBS,Poland,Europe,True,
Lucent Esports,LCT,United Kingdom,EMEA,True,
Lucky Esports,LKY,,North America,True,Aqualix Esports.NA
LUL Esports,LUL,Greece,Europe,True,
Luminox Planet,LP,,EMEA,True,
Lunary,LNY,France,EMEA,True,
Lundqvist Lightside,LLS,Sweden,EMEA,False,
Lupus Esports,LUP,Serbia,EMEA,False,
Luxor Gaming,LXG,Peru,Latin America,True,
Luxury Esports,LX,Vietnam,Vietnam,True,
Lycos eSports,LYC,Italy,Europe,True,
Lynch Esports,LY,Turkey,EMEA,False,
Lynx (Oceanic Team),LX,,Oceania,True,
Lyon Gaming (2013 Latin American Team),LYN,Mexico,LAN,True,Rainbow7
Lyon Gaming (2017 Latin America North Team),Lyon,Mexico,Latin America,True,
M19,M19,Russia,CIS,True,
Macao Esports,MOE,Macao,LMS,True,
Machi 17,Machi 17,Taiwan,LMS,True,
Machi Crew,MC,Taiwan,LMS,True,
Machi Esports,MCX,Taiwan,PCS,True,
MachiX,MCX,Taiwan,LMS,True,
Macko Academy,MCK.A,Italy,EMEA,False,
Macko Esports,MCK,Italy,EMEA,False,
Macro Maniacs,MCM,Turkey,Turkey,True,
Mad Dragon,MAD,Hong Kong,LMS,True,
MAD Gaming,MAD,Brazil,Brazil,True,
MaD Gaming MX,MaD MX,Mexico,LAN,True,
Mad Gods Gaming,Mad Gods,Greece,Europe,True,
Mad Kings,MKE,Peru,Latin America,True,
MAD Lions Academy,MAD.A,Spain,Europe,True,
MAD Lions E.C.,MAD,Spain,Europe,True,MAD Lions Madrid
MAD Lions E.C. Colombia,MLC,Spain,Latin America,True,
MAD Lions E.C. Mexico,MLM,Spain,Latin America,True,
MAD Lions KOI,MDK,Spain,EMEA,False,
MAD Lions KOI Female,MDK.F,Spain,EMEA,False,
MAD Lions Madrid,MADM,Spain,Europe,True,
Mad Revolution Gaming,MAD,Costa Rica,Latin America,True,
MAD Team,MAD,Taiwan,LMS,True,
Made in France,MiF,France,Europe,True,
Maelstrom Esports,ME,,North America,False,
Maestro V Esports,MSV,Poland,EMEA,True,
MAGAZA,MGZ,Bulgaria,EMEA,False,
Magistra,MGT,Denmark,Europe,True,
Magna Esports,MGN,Spain,EMEA,True,
Majestic Lions,ML,Czech Republic,Europe,True,
Malvinas Gaming,MVG,Argentina,Latin America,False,
MAMMOTH,MEC,Australia,Asia Pacific,False,
Mammoth Academy,MMMA,Australia,Oceania,True,
ManaLight,ML,United Kingdom,Europe,True,
Manguste AT,MNG.AT,Italy,Europe,True,
Manguste eSports,MNG,Italy,Europe,True,
Manila Eagles,MLE,Philippines,SEA,True,
Maroon Bells,MB,Poland,Europe,True,
Marvelous Gamers Brotherhood,MGB,China,China,True,
Maryville University,MU,,North America,False,
Mashallah Gaming,MASH,France,Europe,True,
Masonic,MSC,Denmark,Europe,True,
Master Girl,MG,China,China,True,
Master of Chicken Gaming,MCG,Japan,Japan,True,
Masters 3,M3,China,China,True,
MattyUSA LODIS,LUSA,Poland,EMEA,False,
Maturalni Forsaken Academy,MFA,Poland,EMEA,True,
Maverix,MVX,Czech Republic,EMEA,False,
MAX (Chinese Team),MAX,China,China,False,
Max Tigers,MAX,Colombia,Latin America,True,
Maximal,MAX,Vietnam,Vietnam,True,UTM Esports
Mayan Esports,MYN,Guatemala,Latin America,True,
Maycam Evolve,EV,Argentina,Latin America,True,
Maze (Brazilian Team),MZE,Brazil,Brazil,True,
Maze Gaming,MAZ,Chile,Latin America,False,
MCES Italia,MCES.IT,Italy,Europe,True,
MCES Italia Academy,MCES.IT,Italy,Europe,True,
MCon esports,MCON,Netherlands,EMEA,False,
MCon esports Rotterdam Academy,MCN.A,,Europe,True,
MD E-sports Club,MD,China,China,True,
Meat Playground,MP,North America,North America,True,
Meavedron,MVE,Poland,EMEA,False,
Medieval Riga,MDVL,Latvia,Europe,True,
MeetYourMakers,MYM,Germany,Europe,True,
MeetYourMakers.LAN,MYM.LAN,Germany,LAN,True,
MeetYourMakers.TR,MYM.TR,Germany,Turkey,True,
MEGA,MG,Thailand,SEA,True,
Meloncats,MC,Europe,Europe,True,
Melty eSport Club,MTY,France,Europe,True,
Meme City Esports,MCE,United States,North America,False,
Meme Stream Dream Team,MSDT,,North America,True,
Meow Gaming Club,MEOW,Netherlands,EMEA,True,
Mercenaries,MERC,,North America,True,
Merciless Gaming,MGG,Brazil,Brazil,True,
Merciless Gaming Academy,MGG.A,Brazil,Brazil,True,
Meta Falcon Team,MFT,Taiwan,PCS,True,
Meta Gaming,MG,Paraguay,Latin America,False,
Method2Madness,M2,United Kingdom,Europe,True,
Mezexis Esports,MZS,Dominican Republic,Latin America,True,
MF Gaming,MFG,China,China,True,
MGN Blue Esports,MBE,Vietnam,Vietnam,False,
Mgutis' Saplings,MS,,North America,True,
MHSC Esport,MHSC,France,EMEA,False,
Miami University,MU,,North America,False,
MiaoJing,MJ,China,China,False,
MIBR,MIBR,Brazil,Brazil,False,
Michigan State University,MSU,,North America,False,
Midas FIO,FIO,South Korea,Korea,True,
Midnight Sun Esports,MSE,Taiwan,LMS,True,
MiG Blitz,MIG.B,South Korea,Korea,True,
Mighty Eagle,ME,China,China,True,
Millenium,MIL,France,Europe,True,
Millenium Spirit,MSP,France,Europe,True,
Mind Blue eSports,MB,,EMEA,False,
Miners,NMG,Brazil,Brazil,True,
Miners Academy,NMG.A,,Brazil,True,
Miners Female,NMG.F,Brazil,Brazil,True,
Mineski,MSK,Philippines,SEA,True,Liyab Esports
Minus Three,M3,,North America,True,
Miracle (North American Team),MRC,Canada,North America,True,
Miracle Gaming,M1,Spain,Europe,True,
Mirage Alliance,MA,United States,North America,False,
Mirage Alliance Baguette,MA.B,,North America,False,
Mirage Alliance Developmental,MIR.D,United States,North America,True,
Mirage Élite,MEC,,North America,False,
Mirage Elyandra,ME,Canada,Europe,True,
MiraGe Gaming,MiraGe,South Korea,Korea,True,
Mirage Oasis,MIR.O,Canada,North America,True,
Mirage Sport Électronique,MIR,,North America,True,
Misa Esports,MISA,Turkey,EMEA,False,
Misfits (2024 North American Team),MF,,North America,True,
Misfits Academy,MSF.A,United States,Europe,True,Misfits Premier
Misfits Gaming,MSF,United States,Europe,True,
Misfits Premier,MSFP,United States,Europe,True,
Missouri Valley College,MVC,,North America,False,
MiTH Flashdive,MiTH FD,Thailand,SEA,True,
MizzouEsports,MIZZ,,North America,False,
MJ-Esports,MJ,Finland,Europe,True,
Mkers,MKS,Italy,Europe,True,
Mkers Academy,MKS.A,Italy,Europe,True,
MKZ,MKZ,South Korea,Korea,True,
MLGB E-SPORTS CLUB,MLGB,,North America,True,
MNM Gaming,MNM,United Kingdom,Europe,True,
MnM Gaming Academy,MnM.A,United Kingdom,Europe,True,
MOBA ROG,MOR,Italy,Europe,True,
Monkey Mafia,MM,Greece,Europe,True,
Monolith Gaming,MNL,Russia,CIS,True,
Monomaniac eSports,MME,United States,North America,True,
MorningStar Legends,MSL,,North America,True,
MorningStar White,MSW,,North America,True,
Mortal Teamwork,MTW,Germany,Europe,True,
Mortality eSports,MRT,,North America,True,
Moscow Five,M5,Russia,Europe,True,
Moscow Five.CIS,M5,Russia,CIS,True,
Moss Seven Club,MSC,China,China,True,
Motion,MOTN,,North America,False,
Mount Olympus,MOGG,,North America,True,
MOUZ NXT,NXT,Germany,EMEA,False,
Movistar KOI,KOI,Spain,EMEA,False,
Movistar Optix,MOX,Chile,Latin America,True,
Movistar R7,R7,Mexico,Latin America,False,
Movistar Riders Academy,MRS.A,Spain,Europe,True,
Movistar Riders Blue,MRS.B,Spain,Europe,True,
MS Company,MS,France,EMEA,True,
MSI Evolution Gaming Team,MSI,Philippines,SEA,True,
MTP Esport,MTP,France,EMEA,True,
MTW Gaming,MTW,Germany,Europe,True,
MTw North America,MTW,United States,North America,True,
Mübeccel Espor,MCER,Turkey,EMEA,True,
Munster Rugby Gaming,MRG,Republic of Ireland,EMEA,True,
Munster Rugby Gaming Academy,MRG.A,Republic of Ireland,Europe,True,
Murk Esports,MRK,,North America,True,
MVP,MVP,South Korea,Korea,True,
MVP Blue,MVP.B,South Korea,Korea,True,
MVP Ozone,MVP.O,South Korea,Korea,True,
MVP Red,MVP.R,South Korea,Korea,True,
MYIDOL Esports,MYI,Tunisia,MENA,True,
MYinsanity,MYI,Switzerland,EMEA,False,
MyRevenge,myR,Germany,Europe,True,
MyRevenge Chile,myR CL,Germany,LAS,True,
Mysterious Monkeys,MM,Germany,Europe,True,ad hoc gaming
Mysterious Monkeys.ESLM,MM.ESLM,Germany,Europe,True,
Mystic Gaming (Emirati Team),MYC,United Arab Emirates,MENA,False,
Myth Esports,MYTH,,EMEA,False,
Mythos Gaming,MYT,United Kingdom,Europe,True,
Mythus Esports,MYT,,SEA,False,
N!faculty,FAC,Germany,Europe,True,
Naga Esports,Naga,Philippines,SEA,True,
Naguara Mexico,NE,Argentina,Latin America,True,
Naguara Team,NE,Argentina,Latin America,True,
NaJin Black Sword,NJBS,South Korea,Korea,True,
NaJin e-mFire,NJF,South Korea,Korea,True,e-mFire
NaJin White Shield,NJWS,South Korea,Korea,True,
NALCS Players Association,NALCSPA,United States,North America,False,
Nameless Randoms,NR,,North America,True,
Nameless Thieves,NT,,North America,True,
Napkins in Disguise,NID,North America,North America,True,
NARCIS,NRC,Czech Republic,EMEA,True,H3ARTS
Nash Ξquilibrium,NASH,Germany,Europe,True,
NASR eSports,NSR,United Arab Emirates,MENA,True,
NASR eSports Jr.,NASR.JR,United Arab Emirates,MENA,True,
NASR eSports Turkey,NASR,United Arab Emirates,EMEA,False,
NASR eSports Turkey Academy,NASR.A,United Arab Emirates,Turkey,True,
NAT,NAT,Italy,Europe,True,
Nate.A,NTA,Taiwan,PCS,True,
Nate9527,NAT,Taiwan,PCS,True,
Native Gaming,N8V,United States,North America,True,
Nativz,NTZ,Republic of Ireland,EMEA,False,
Natus Vincere,Na'Vi,Ukraine,Europe,True,
Natus Vincere.CIS,NV.CIS,Ukraine,CIS,True,
NDurance Gaming,nD,Norway,Europe,True,
NEB,NEB,South Korea,Korea,True,
NecroRaisers,NR,Slovakia,Europe,True,
NeL,NeL,South Korea,Korea,True,
Neolution E-Sport Nemesis,Neo.N,Thailand,SEA,True,
Neon Esports,NE,Turkey,Europe,True,
NEophyte,NEPH,Czech Republic,Europe,True,
NerdRage,nR,United Kingdom,Europe,True,
Nerf Galeforce,NGF,,Europe,True,
Neronity,NERO,Romania,Europe,True,Team Nerotec
Nerv,NRV,Belgium,Europe,True,
Neurons,NEU,Taiwan,LMS,True,
Never Give Up,NGU,Taiwan,LMS,True,
NeverBack Gaming,NB.,Spain,Europe,True,
New Dynasty,ND,Netherlands,Europe,True,Dynasty
New Era,ERA,Greece,EMEA,False,
New World Eclipse,NWE,North America,North America,True,
Newbee,NB,China,China,True,
Newbee Young,NBY,China,China,True,
Newell's Esports,NOB,Argentina,Latin America,True,
Newstar,N5R,,Latin America,True,
Nex Impetus,neXi,Brazil,Brazil,True,
Next Gen Esports,NGE,Vietnam,SEA,True,
Next Level Esports,NLE,,North America,False,
NextGaming,NxG,Italy,Europe,True,
NeXtPlease! Gaming,NPG,Romania,Europe,True,
Nexus KTRL,NXK,Romania,Europe,True,
Nibble Gaming,NBG,Japan,Japan,True,
Nigel's Last Tiles,TILE,,North America,True,Guangdong Flying Tigers
Nightblood Gaming,NBG,United States,North America,False,
Nigma Galaxy,NGX,United Arab Emirates,Europe,True,
Nigma Galaxy Male,NGX,United Arab Emirates,EMEA,False,
Nigma Galaxy MENA,NGX.MN,United Arab Emirates,MENA,True,
Ninjas in Pyjamas,NIP,Sweden,Europe,True,
Ninjas in Pyjamas.CN,NIP,Sweden,China,False,
NK Osijek Esport,NKOS,Croatia,Europe,True,
NLD eSports,NLD,Greece,Europe,True,
NNO Prime,NNO,Germany,EMEA,False,
NNOwO,NNO,Germany,EMEA,True,
No Ace,NACE,,North America,True,
No Dice Gaming,NDG,,North America,True,
No Game No Life,NGL,Hong Kong,LMS,True,
No Name (North American Team),NN,,North America,True,
No Need Orga,NNO,Germany,EMEA,False,
No Org,NO,,North America,True,
No Team,NOT,,North America,True,
Noah's Ark,,China,China,True,
Noble Esports,NOB,,North America,True,
Noble Truth,NTR,United States,North America,True,
NOCTA,NOC,Colombia,Latin America,True,
Nocturns Gaming,NG,Argentina,Latin America,True,
NoFancy,NFC,Hong Kong,LMS,True,
NONAME (Turkish Team),NON,,EMEA,False,
Nongshim Esports Academy,NS.EA,South Korea,Korea,False,
Nongshim RedForce,NS,South Korea,Korea,False,
Nongshim RedForce Academy,NS.A,South Korea,Korea,False,
NonHK,NHK,Hong Kong,LMS,True,
Noot Noot eSports,NN,,Europe,True,
NORD Esports,NORD,,EMEA,False,
NORD Polaris,NORD,,EMEA,False,
Nordavind,NVD,Norway,Europe,True,00 Nation
Nordavind Black,NVD.B,Norway,Europe,True,
Nordavind Talent,NVD.T,Norway,Europe,True,00 Prospects
Nordavind White,NVD.W,Norway,Europe,True,
North (2018 European Team),NOR,Denmark,Europe,True,
North Carolina State University,NCSU,,North America,False,
Northeastern University,NU,,North America,False,
Northern Lions Esports,NLE,,EMEA,True,
Northwood University,NU,,North America,False,
Not Academy Team,NAT,,North America,True,
Nova Dragons,NVD,Peru,Latin America,True,
Nova eSports (North American Team),NVA,United States,North America,True,
Nova Esports (Thai Team),NOV,,PCS,True,
Novasphere Gaming,NSG,,North America,False,
NOVO Esports,NOVO,Italy,EMEA,False,
Novus Tempus,NT,Chile,LAS,True,
Now or Never,NON,China,China,True,
NOX Esports,NOX,United Kingdom,Europe,True,
NRAX Esports,NRAX,Poland,EMEA,True,
NRG,NRG,North America,North America,False,
NRG Challengers,NRGC,North America,North America,True,
Nuit Blanche,NBL,France,Europe,True,
Nuke Hunters,NH,,North America,True,
NumberOne Esports,NR1,Turkey,Turkey,True,
Nuovo Gaming,NVO,Australia,Oceania,True,
NVision Esports,NV,United Kingdom,Europe,True,
NXT,NXT,,EMEA,True,
NYYRIKKI,NKI,Finland,Europe,True,
NYYRIKKI Academy,NKI.A,Finland,Europe,True,
NYYRIKKI Blue,NKI.B,Finland,Europe,True,NYYRIKKI Academy
NYYRIKKI White,NKI.W,Finland,Europe,True,NYYRIKKI
O'Gaming TV,OGTV,France,EMEA,False,
Oakland University,OU,,North America,False,
Obnoxious Gaming,NOX,United Kingdom,Europe,True,NOX Esports
ODD Wara,ODD.W,Mexico,Latin America,False,
ODIN Gaming,ODN,Argentina,Latin America,True,
Odivelas Sports Club,OSC,Portugal,EMEA,False,
Odyssey Gaming,ODY,United States,North America,True,Team Imagine
OffLimits,OFF,Italy,Europe,True,
OFFSET Esports,OFF7,Portugal,Europe,True,
OG Esports,OGE,Costa Rica,Latin America,True,
OGC Esports,OGC,Czech Republic,EMEA,False,
OGC Sigma Esports,OSE,Czech Republic,EMEA,True,OGC Esports
Oh My Girls,OMGirls,China,China,True,
Oh My God,OMG,China,China,False,
Oh My God 2,OMG 2,China,China,True,
Oh My God Academy,OMG.A,China,China,False,
Ohio Northern University,ONU,,North America,False,
Ohio State University,OSU,,North America,False,
OKGG White,OKGG.W,Spain,Europe,True,
Okinawan Tigers,OT,Japan,Japan,True,
Oklahoma Christian University,OCU,,North America,False,
OKSavingsBank BRION,BRO,South Korea,Korea,False,
OKSavingsBank BRION Academy,BRO.A,South Korea,Korea,False,
OKSavingsBank BRION Challengers,BRO.C,South Korea,Korea,False,
Old Hunters,OHT,Chile,LAS,True,
Olympiacos Alimou,GOAL,Greece,Europe,True,
Olympus Gaming,OLY,Morocco,MENA,True,
Omega Gaming,OMG,United States,North America,True,Mirage Alliance
Omerix Esport,OX,France,EMEA,False,
Once Caldas Esports,OC,Colombia,Latin America,True,
Once Upon A Team,OUAT,,EMEA,False,
One Breath Gaming,OBG,United Kingdom,CIS,True,
One More Esports,1M,Morocco,EMEA,False,
One Piece eSports,OPE,Hungary,Europe,True,
ONE SEVEN EIGHT,OSE,Macao,LMS,True,
One Trick Production,OTP,France,EMEA,False,
One Way Esports,OWE,,EMEA,True,
Only Heroes Academia,OHA,Turkey,EMEA,False,
OnlyGame,OG,China,China,True,
Onoda Esports,ONODA,Colombia,Latin America,True,
Onyx Esports,ONYX,Malaysia,SEA,True,
Onyx Ravens,OXR,Saudi Arabia,EMEA,False,
OP Gaming,OPG,South Korea,Korea,True,
OP innogy eSport,OP,Germany,Europe,True,E WIE EINFACH E-SPORTS
OpenMidPlease,OMP,Taiwan,LMS,True,
Operation Kino e-Sports,OPK,Brazil,Brazil,True,
OpTic Gaming,OPT,United States,North America,True,Immortals
OpTic Gaming Academy,OPT.A,United States,North America,True,Immortals Academy
Optical spectrum E-sport,OSE,China,China,True,
Optimization Gaming,OG,Greece,Europe,True,
Optimum Cowboys,OC,United Kingdom,Europe,True,
Option 33,O33,,North America,True,
OQ (North American Team),OQ,,North America,True,
Orange Esports,ORG,Malaysia,SEA,True,
Orbit Anonymo Esports,OAE,Poland,EMEA,False,
Orbit Gaming,ORB,United States,North America,True,
ORDER,ORD,Australia,Oceania,True,
ORDER Academy,ORDA,Australia,Oceania,True,
Ordinance Gaming,OG,North America,North America,True,
Ordo Equitum,OE,Mexico,LAN,True,
Orgless,ORGL,,North America,True,
Origen,OG,Denmark,Europe,True,Astralis
Origen Academy,OG.A,Spain,Europe,True,
Origen BCN,OGB,Denmark,Europe,True,BCN Squad
Origen ESP,OGE,Spain,Europe,True,
Original Gaming,OG,,Vietnam,False,
Origine Online,Origine,France,Europe,True,
Orion Esport,OR,Spain,Europe,True,
Osaka,OSK,Colombia,Latin America,False,
Oserv Esport,OSV,France,EMEA,False,
Osh-Tekk Warriors,OTW,,MENA,False,
Osos Mafiosos,OSM,Ecuador,LAN,True,
Östersunds FK Esports,OFK,Sweden,Europe,True,FALKN
Ottawa University,OU,,North America,False,
Our Last Dance,OLD,,North America,True,
Out of the Blue,OOB,France,Europe,True,
Outlaws,OLW,Australia,Oceania,True,
Outlawz,OTL,Greece,Europe,True,
Outplayed Academy,OP.A,Italy,Europe,True,
OuYi Game Team,OY,,China,True,
Over Power Gaming Center,OPGC,Iraq,MENA,False,
Overdrive,OVD,Japan,Japan,True,
OverGaming,OG,Spain,Europe,True,
Overload (Brazilian Team),OVL,Brazil,Brazil,True,
OverMinds,OVM,Algeria,MENA,False,
OverPower Esports,OPG,,Vietnam,True,
Ownerd e-Sports,OWN,Brazil,Brazil,True,
Oxygen Gaming,O2G,Spain,EMEA,False,
Oxygen Kumiho,O2K,Spain,EMEA,True,Oxygen Gaming
Oxygen Valiants,O2V,Spain,EMEA,True,
Oyun Hizmetleri,OH,Turkey,Turkey,True,
Oyun Hizmetleri CILEKLER,OHC,Turkey,Turkey,True,
OZ Gaming,OZ,South Korea,Korea,True,
P11 Esports,P11,Italy,Europe,True,
P3P eSports,P3P,Turkey,Turkey,True,
Pacific eSports,PCFC,Philippines,SEA,True,
Packa Pappas Kappsäck,PPK,Sweden,Europe,True,
Packmiko E-Sports,PMK,Germany,EMEA,False,
PaiN Gaming,PNG,Brazil,Brazil,False,
PaiN Gaming Academy,PNG.A,Brazil,Brazil,False,
PaiN Gaming Female,PNG.F,Brazil,Brazil,True,
PainGaming,PG,Spain,Europe,True,
Palisade Esports,PAL,,North America,True,
PAM eSports,PAM,Spain,Europe,True,FEN1X eSports
Pampas,PAM,Argentina,Latin America,True,
Panathinaikos AC eSports,PAO,Greece,EMEA,True,
Panda Cub Hugging Club,PCHC,Singapore,SEA,True,
PandaCute,PDQ,,LMS,True,
Pandy Pandas,PAND,,North America,True,
PANTHERS Gaming,PG,Germany,Europe,True,
Papara SuperMassive,SUP,Turkey,EMEA,False,
Parabellum Esports,PRB,,North America,True,
Paradox Gaming,PDG,Malaysia,SEA,True,
Parakeet Gaming,PKG,Spain,EMEA,False,
Paris Saint-Germain eSports,PSG,France,Europe,True,
Park University,PU,,North America,False,
Pars eSports,Pars,Turkey,Turkey,True,
Partizan Esports,PAR,Serbia,EMEA,False,
Pathos,PTS,South Korea,Korea,True,
Pawn Gaming (Spanish Team),PWN,Spain,Europe,True,
PCHunter,PCH,Italy,Europe,True,
PCIFIC Espor,PCF,,EMEA,False,
PCS Taran,PCS.T,France,EMEA,True,
PDK Sideral,PDK,Spain,EMEA,True,
PDW,PDW,,Europe,True,
PEACE (Oceanic Team),PCE,Australia,PCS,True,
Peach Cats,PC,,North America,True,
Peak Performance,PPE,United States,North America,False,
Peak Performance X,PPX,United States,North America,False,
Peak Performance Y,PPY,United States,North America,False,
Peak Performers (North American Team),PP,,North America,False,
Peculiar gaming,P,Germany,Europe,True,
Pee N W's,PEE,,North America,False,
PÊEK Gaming,PK,Mexico,Latin America,False,
PeesPlay Gaming,PPG,Brazil,Brazil,True,
Pegasus Esports,PGS,Egypt,EMEA,False,
PENTA 1860,PTA,Germany,Europe,True,
Pentagon Maze,PM,Greece,Europe,True,Pentagon Rejects
Pentagon Rejects,PTR,Greece,EMEA,False,
PENTAGRAM,PGM,Japan,Japan,True,
Pentakill.gr,5K,Greece,Europe,True,
Pentanet.GG,PGG,Australia,Asia Pacific,True,
Pentanet.GG Rise,PGGR,Australia,Oceania,True,
Future Perfect Blue,FPB,Russia,CIS,True,
Future Perfect Demacia,FPD,Russia,CIS,True,
Future Perfect Ionia,FPI,Russia,CIS,True,
Future Perfect Noxus,FPN,Russia,CIS,True,
Future Perfect Orange,FPO,Russia,CIS,True,
Future Perfect Purple,FPP,Russia,CIS,True,
Future Perfect UA,FPU,Russia,CIS,True,
Future Perfect Zaun,FPZ,Russia,CIS,True,
FXOpen e-Sports,FXO,North America,North America,True,To Be Determined
Fylkir Esports,FYL,Iceland,Europe,True,
G-Pride,GP,Peru,Latin America,True,
G-Rex,GRX,Hong Kong,Asia Pacific,True,
G-Rex Infinite,GRI,Hong Kong,LMS,True,
G2 Arctic,G2AR,,Europe,True,
G2 Esports,G2,Germany,EMEA,False,
G2 Hel,G2H,Germany,EMEA,False,
G2 Heretics,G2H,,Europe,True,
G2 Vodafone,G2V,Spain,Europe,True,
G3nerationX,g3x,Brazil,Brazil,True,
Gaia Esports,GE,Italy,Europe,True,
Galactic Gamers,GLG,Mexico,LAN,True,Gaming Gaming
Galakticos,GAL,Turkey,EMEA,False,
Galakticos Academy,GAL.A,Turkey,Turkey,True,
Galatasaray Academy,GS.A,Turkey,Turkey,True,
Galatasaray Esports,GS,Turkey,Turkey,True,
Galaxy Racer Esports EU Female,GXR.EU,United Arab Emirates,Europe,True,Nigma Galaxy
Galaxy Racer Esports EU Male,GXR,United Arab Emirates,Europe,True,
Galaxy Racer Esports MENA Female,GXR,United Arab Emirates,EMEA,False,
Galaxy Racer Esports MENA Male,GXR,United Arab Emirates,MENA,True,Nigma Galaxy Male
GAM Esports,GAM,Vietnam,Vietnam,False,
Gama Dream,GD,China,China,True,
Gama E-Sport Dream,GED,China,China,True,
Gamania Bears,GAB,Taiwan,LMS,True,GashBears
Gambit Esports,GMB,Russia,CIS,True,
Gambit Gaming,GMB,United Kingdom,Europe,True,
Game Changers,GC,Greece,Europe,True,Team Phantasma
