Player,Country,Birthdate,ResidencyFormer,Team,Residency,Role,FavChamps,RoleLast,IsRetired,ToWildrift,Birthdate__precision,AllName
K4TUNAR,Greece,1998-09-08,,,Europe,Bot,"Jhin,Leona,Lillia",Bot,True,False,1.0,"K4TUNAR, BlindLama, Cubone, Qr13, R1osma, Sn1pefox"
Kaage,Czech Republic,,,,Europe,Top,,Top,True,False,,"Kaage, Dicer, Ryner"
Kaarl,Germany,,,,Europe,Bot,,Bot,True,False,,Kaarl
Kaas,Belgium,,Europe,GIANTX,EMEA,Coach,,Head Coach,False,False,,"Kaas, Je suis Kaas, KAAs x bAAS, KAASBAAS, Paljas"
KaasPlank,Belgium,1999-08-31,,,EMEA,Support,,Support,False,False,1.0,"KaasPlank, KaasPlankMetWijn"
Kaba,Greece,2000-02-15,Europe,,EMEA,Bot,"Tristana,Vayne,Kai'Sa",Bot,False,False,1.0,"Kaba, Inspiration, Kaba47, Kabamarru, Kabamaru, Kardara, Kostakis4"
kabbie,South Korea,2001-12-17,,Los Grandes,Korea,Support,Rell,Support,False,False,1.0,"Kabbie, Irove, 정상현"
Kabe,Hong Kong,1994-10-12,Taiwan,,China,Coach,,Assistant Coach,False,False,1.0,"Kabe, MaN, MyticQ"
Kabir,India,1999-02-17,,Spinebusters E-Sport,EMEA,Coach,"Pantheon,Shen,Tahm Kench,Trundle,Jarvan IV,Thresh,Braum",Skill Acquisition Assist Labor,False,False,1.0,Kabir
Kabishou,China,,,,China,Support,,Support,False,False,,Kabishou
Kaboom,Turkey,2006-03-14,,GMBLERS ESPORTS,EMEA,,"Lillia,Viego,Xin Zhao,Graves",Jungle,False,False,1.0,Kaboom
Kabosu,China,,,,China,Bot,,Bot,True,False,,"Kabosu, Crack AD, Jiajun"
Kabs,Denmark,,Europe,,EMEA,Support,,Support,False,False,,"Kabs, Kaabs"
KABUKING,Japan,,,,Japan,Jungle,,Jungle,True,False,,"KABUKING, Zange2nodesi, Zangetsunodesi"
Kabupun,Japan,,Japan,,Japan,Support,,Support,True,False,,Kabupun
Kabuu,Hong Kong,,Taiwan,,PCS,Jungle,,Jungle,True,False,,Kabuu
Kacha,United States,,,,North America,Bot,,Bot,True,False,,Kacha
Kachu,South Korea,2003-08-12,,Maryville University,North America,Bot,"Sylas,Akali,Jayce,Hwei",Bot,False,False,1.0,Kachu
KacikFitnes,Czech Republic,2002-11-15,Europe,,EMEA,Support,"Rakan,Nami,Senna,Zyra",Support,False,False,1.0,"KacikFitnes, 242, Nuffy"
Kackis,Sweden,,Europe,Lundqvist Darkside,EMEA,Jungle,,Jungle,False,False,,"Kackis, Syliox"
Kackos,Poland,1998-01-30,Europe,,EMEA,Top,,Top,False,False,1.0,Kackos
Kada,France,,,,EMEA,Jungle,"Evelynn,Kayn,Ahri,Lissandra",Jungle,False,False,,Kada
Kadaki,Brazil,,,,Brazil,Bot,,Bot,True,False,,Kadaki
Kadal,South Korea,2003-12-15,,,Korea,Top,,Top,False,False,1.0,Kadal
Kadaver,Denmark,2001-04-26,,,Europe,Bot,,Bot,True,False,1.0,Kadaver
Kade,United States,,,,North America,Coach,,Performance Coach;Manager,False,False,,"Kade, DJKUSH"
Kadir,Netherlands,1999-03-04,Turkey,ENEMI3S,EMEA,Jungle,Nidalee,Jungle,False,False,1.0,"Kadir, Kadiertje"
Kado,United States,,,Ohio Northern University,North America,Mid,,Mid,False,False,,Kado
KadrieN,Chile,,,,LAS,Bot,,Bot,True,False,,"KadrieN, Atraxa, Signum"
Kady,South Korea,,,,Korea,Mid,,Mid,True,False,,Kady
Kael (Alejandro Marrón),Mexico,,,,Latin America,Bot,,Bot,True,False,,Kael (Alejandro Marrón)
Kael (Kim Jin-hong),South Korea,2004-02-11,,Anyone's Legend,Korea,Support,,Support,False,False,1.0,"Kael (Kim Jin-hong), Khael (Kim Jin-hong)"
Kaem,Czech Republic,,,,Europe,Top,,Top,True,False,,Kaem
Kaeru,Czech Republic,,Europe,,EMEA,Mid,,Mid,False,False,,"Kaeru, The Frog Prince"
Kaffe,Poland,,Europe,AvaTrade PixelPenny,EMEA,Bot,,Bot,False,False,,"Kaffe, Kaffejkas"
Kafuu,United States,,,St. John's University (New York),North America,Support,,Support,False,False,,"Kafuu, Justin"
Kaga,France,,Europe,,EMEA,Top,,Top,False,False,,"Kaga, Kagaaaaa"
Kagame (Igci Soner),Kosovo,,,,EMEA,Jungle,,Jungle,False,False,,Kagame (Igci Soner)
Kagame (Yap Li Aw),Malaysia,2000-12-12,Southeast Asia,,Asia Pacific,Bot,"Aurelion Sol,Ekko,Corki,Vladimir",Bot,True,True,1.0,"Kagame (Yap Li Aw), Arxues"
Kagaris,Russia,,,,CIS,Jungle,,Jungle,True,False,,Kagaris
Kage (Hayri Coşkun),Turkey,,,,Turkey,Support,,Support,True,False,,Kage (Hayri Coşkun)
KAGE (Kim Jae-hwi),South Korea,,,,Korea,Top,,Top,True,False,,"KAGE (Kim Jae-hwi), 寿司王"
Kage (Seo Jin-woong),South Korea,1984-02-14,,,Korea,Coach,,Head Coach,True,False,1.0,Kage (Seo Jin-woong)
Kahom,China,,,,China,Top,,Top,True,False,,Kahom
Kahrlie,Mexico,,,Peek Rainy,Latin America,Support,,Support,False,False,,Kahrlie
Kahts,United States,2001-06-01,,,North America,Caster,,Top,True,False,1.0,Kahts
Kai (Ben Stewart),Australia,,,,Oceania,Coach,,Coach,True,False,,Kai (Ben Stewart)
Kai (Luis Rojas),Costa Rica,,,,Latin America,Support,"Yuumi,Leona,Rell,Nautilus",Support,True,False,,Kai (Luis Rojas)
Kai (Mateo Martínez),Colombia,,,,LAN,Jungle,,Jungle,True,False,,Kai (Mateo Martínez)
Kai (Nguyễn Quốc Khánh),Vietnam,,,,SEA,Bot,"Caitlyn,Ezreal",Bot,True,False,,"Kai (Nguyễn Quốc Khánh), Leonidas, LeonisdaSS"
Kai (Wang Yu-Kai),Taiwan,,,,PCS,Mid,Twisted Fate,Mid,False,False,,Kai (Wang Yu-Kai)
Kai (Yang Kai),China,,,,China,Top,,Top,True,False,,Kai (Yang Kai)
Kai (Zhou Kai),China,,,,China,Bot,,Bot,True,False,,Kai (Zhou Kai)
Kaiba,Portugal,,,,Europe,Jungle,,Jungle,True,False,,Kaiba
Kaidoh,Spain,,,,Europe,Top,,Top,True,False,,Kaidoh
Kaigu,Philippines,,Southeast Asia,,Asia Pacific,Coach,"Vayne,Udyr,Zed",Streamer;Positional Coach,True,True,,"Kaigu, Ka1gu, LNC, XKaigu"
Kaihua,Chile,,,,Latin America,Bot,,Bot,False,False,,Kaihua
Kaii,Spain,2004-07-08,Europe,,EMEA,Bot,,Bot,False,False,1.0,"Kaii, Kaii1"
Kaii (Kyle Techentin),United States,,,Ohio Northern University,North America,Bot,,Bot,False,False,,"Kaii (Kyle Techentin), Teckerz"
Kailai,China,,,,China,Mid,,Mid,True,False,,"Kailai, Kla1"
Kailing,Singapore,1987-12-15,,,SEA,Coach,"Shaco,Annie,Malphite",Coach;Support,True,False,1.0,Kailing
Kailo,Venezuela,,,,Latin America,Coach,,Assistant Coach,False,False,,Kailo
Kain (Jasiel López),Mexico,,,,LAN,Manager,,Manager,True,False,,Kain (Jasiel López)
Kaine,Turkey,2003-08-13,Turkey,Only Heroes Academia,EMEA,Mid,,Mid,False,False,1.0,Kaine
Kainzor,Iceland,1995-08-01,,,Europe,Top,"Singed,Neeko,Draven",Top,True,False,1.0,Kainzor
Kaio,Macao,,,,LMS,Jungle,,Jungle,True,False,,Kaio
KaioKen,United States,,,,North America,Support,Taliyah,Support,False,False,,KaioKen
Kaios,Australia,,,,Oceania,Top,,Top,True,False,,Kaios
Kairell,Mexico,,,,Latin America,Bot,,Bot,True,False,,Kairell
Kairi,Vietnam,2002-12-26,,,Vietnam,Support,Pyke,Support,False,False,1.0,"Kairi, 333, PHI1"
Kairo,China,,,,China,Mid,,Mid,True,False,,Kairo
Kairos,Turkey,,,,Turkey,Support,,Support,True,False,,"Kairos, Kairos Plz"
Kaisel,South Korea,,,,Korea,Bot,,Bot,True,False,,"Kaisel, Kalsei"
Kaiser,Germany,1998-11-19,Europe,Team Heretics,EMEA,Support,Rakan,Support,False,False,1.0,"Kaiser, Gistick"
Kaiser (Hsu Yi-De),Taiwan,2006-06-21,,Impunity,Asia Pacific,Mid,"Akali,Sylas,LeBlanc",Mid,False,False,1.0,Kaiser (Hsu Yi-De)
Kaiser (Lauris Jurgilēvičs),Latvia,,,,Europe,Bot,,Bot,True,False,,Kaiser (Lauris Jurgilēvičs)
Kaiserin,Brazil,,,,Brazil,Mid,,Mid,False,False,,"Kaiserin, Die Kaiserin"
KaiShun,Vietnam,2004-07-24,,Team Flash.Vietnam,Vietnam,Top,,Top,False,False,1.0,KaiShun
Kaisie,Portugal,,,,Europe,Jungle,,Jungle,True,False,,Kaisie
Kaiting,Austria,,,,Europe,Bot,,Bot,True,False,,Kaiting
Kaito (Kaito Mitsufuji),Japan,1999-03-08,Japan,,PCS,Mid,Syndra,Mid,False,False,1.0,"Kaito (Kaito Mitsufuji), Silver (Kaito Mitsufuji)"
Kaito (Marcos Leiva),Chile,,,,Latin America,Mid,,Mid,True,False,,Kaito (Marcos Leiva)
KaitoS,Spain,,,,Europe,Bot,,Bot,True,False,,KaitoS
kaitur,Italy,,,,Europe,Support,"Thresh,Alistar,Rakan,Morgana",Support,True,False,,Kaitur
Kaiwing,Hong Kong,1996-10-27,Taiwan,Frank Esports,Asia Pacific,Support,"Thresh,Leona",Support,False,False,1.0,"Kaiwing, LING (Ling Kai Wing)"
Kaixuan,China,,,,China,Support,,Support,False,False,,"Kaixuan, Xunyu"
Jae,Germany,,,,Europe,Support,,Support,True,False,,Jae
Jaeger,Germany,1996-06-23,Europe,,EMEA,Top,Riven,Top,False,False,1.0,"Jaeger, Smitty, Smitty J, SmittyJ"
Jaeger (Japanese Caster),Japan,,,,PCS,Caster,,Caster,False,False,,Jaeger (Japanese Caster)
Jaeger1,Canada,,,University of Missouri–St. Louis,North America,Support,,Support,False,False,,"Jaeger1, Aeger"
Jaehyuk,South Korea,2007-08-28,,Dplus KIA Academy,Korea,Top,,Top,False,False,1.0,Jaehyuk
Jaen,Spain,,Europe,Heracles Gaming,EMEA,Analyst,,Analyst,False,False,,Jaen
Jaeson,United States,,,Cleveland State University,North America,Top,,Top,False,False,,Jaeson
JaeYoong,Malaysia,1992-04-27,,,SEA,Bot,"Vayne,Corki,Ezreal,Kog'Maw",Bot,True,False,1.0,"JaeYoong, JaeYoongJo"
Jagger (Esteban Alarcon),Argentina,,,,Latin America,Support,,Support,True,False,,"Jagger (Esteban Alarcon), Jagger (Esteban Alejo)"
JAGO848,Norway,,Europe,,EMEA,Top,,Top,False,False,,JAGO848
Jaguar (Wessel Antonissen),Netherlands,2000-05-16,Europe,A One Man Army,EMEA,Top,"Darius,Sett,Aatrox,Viego",Top,False,False,1.0,"Jaguar (Wessel Antonissen), Blitherjaguar45, Jaguar Takeover"
Jailbait,Greece,1998-04-24,Europe,,EMEA,Mid,,Mid,False,False,1.0,Jailbait
Jaimoca,Portugal,2000-04-06,,,EMEA,Mid,"Ahri,Akali,Anivia",Mid,False,False,1.0,Jaimoca
Jairo,Spain,,,,Europe,Coach,,Head Coach,True,False,,"Jairo, Crazy (Jairo Fariña)"
Jajoppy,Costa Rica,,,,LAN,Mid,,Mid,True,False,,Jajoppy
Jaka,France,,,,Europe,Bot,,Bot,True,False,,Jaka
Jakamaka,United Kingdom,1994-03-12,Europe,,EMEA,Bot,,Bot,False,False,1.0,"Jakamaka, Jakamakaa"
Jakattack,New Zealand,1995-01-19,,,Oceania,Top,"Maokai,Dr. Mundo,Malphite,Rumble",Top,True,False,1.0,Jakattack
Jakke13,Sweden,,Europe,Lundqvist Darkside,EMEA,Owner,,Support,False,False,,"Jakke13, Jakke"
Jakobobbi,Austria,2000-03-26,Europe,,EMEA,Coach,"Nidalee,Kindred,Sejuani,Camille,Taliyah",Jungle;Assistant Coach,False,False,1.0,Jakobobbi
Jakoo,Germany,,,,EMEA,Mid,,Mid,False,False,,Jakoo
Jakoule,France,1998-08-05,Europe,,EMEA,Top,Jax,Top,True,False,1.0,Jakoule
jakubs,Poland,,Europe,,EMEA,Top,,Top,False,False,,Jakubs
Jalleba,Tunisia,,,Fog Esports,EMEA,Bot,,Bot,False,False,,"Jalleba, Dashinkan Sama"
Jam Jim,United States,,,,North America,Mid,,Mid,False,False,,Jam Jim
Jamada,United Kingdom,1999-03-26,Europe,Pick Me Galio,EMEA,Coach,"Kayn,Aatrox,Ivern",Coach,False,False,1.0,Jamada
Jambo,United Kingdom,2002-06-08,,,Europe,Jungle,"Lee Sin,Riven,Udyr",Jungle,True,False,1.0,Jambo
Jameeb,United States,,,University of Texas at Dallas,North America,Mid,,Mid,False,False,,Jameeb
James (James Ji),China,,,,North America,Support,,Support,False,False,,James (James Ji)
James Bae,United States,,,,North America,Support,,Support,True,False,,"James Bae, Jamesbaee"
JamesPeke,Russia,1994-05-25,,,CIS,Coach,,Head Coach,True,False,1.0,JamesPeke
jamican banana,Canada,,,,North America,Jungle,,Jungle,False,False,,Jamican banana
Jamie,United States,,,ESC Shane,North America,Manager,,Global Director,False,False,,"Jamie, Raptor (Jameson McDaniel)"
Jamie (Evgeny Sorokin),Ukraine,,CIS,Team Insidious,EMEA,Bot,,Bot,False,False,,"Jamie (Evgeny Sorokin), Imperial (Evgeny Sorokin)"
JAMIX,Portugal,1999-08-06,Europe,,EMEA,Top,"Renekton,Camille",Top,False,False,1.0,JAMIX
Jammzzyy,United Kingdom,,,,Europe,Jungle,,Jungle,True,False,,Jammzzyy
Jamón,Mexico,,,,LAN,Bot,,Bot,True,False,,Jamón
Jamrock,Chile,,,,LAS,Support,,Support,True,False,,Jamrock
Jamsu,United Kingdom,,Europe,Ruddy Painkillers,EMEA,Support,,Support,False,False,,Jamsu
Jandro,Spain,,Europe,Barça eSports,EMEA,Coach,,Coach,False,False,,Jandro
Jane,Vietnam,2003-02-06,,Team Flash.Vietnam,Vietnam,Mid,Ryze,Mid,False,False,1.0,Jane
Janeq,Poland,,Europe,,EMEA,Jungle,,Jungle,False,False,,Janeq
Janghy,Peru,1997-06-06,,,Latin America,Jungle,,Jungle,True,False,1.0,"Janghy, Maluma"
Jango,Belgium,2002-01-01,Europe,HUGE Esport,EMEA,Support,,Support,False,False,1.0,Jango
Jango (Murad Malik),Canada,,,,North America,Top,"Shen,Hecarim,Jax,Camille",Top,True,False,,Jango (Murad Malik)
Janij,Finland,1994-04-15,,,Europe,Jungle,"Aatrox,Camille,Akali,Zoe",Jungle,True,False,1.0,"Janij, Sharpy"
Janitin,Finland,,,,Europe,Mid,"Ziggs,Lissandra,Orianna,Anivia,Zyra,Twisted Fate,Lux",Mid,True,False,,Janitin
Janko,,,,,Europe,Support,,Support,True,False,,Janko
Jankos,Poland,1995-07-23,Europe,Team Heretics,EMEA,Jungle,"Lee Sin,Elise,Camille,Gragas,Olaf,Sejuani",Jungle,False,False,1.0,Jankos
Jann,,2003-01-15,,,EMEA,Mid,"Irelia,Jayce,Azir,Viktor",Mid,False,False,1.0,Jann
Janna Car,United States,2000-03-07,,Savannah College of Art and Design,North America,Support,"Janna,Renata Glasc,Senna,Sona",Support,False,False,1.0,"Janna Car, Wind (Kolbe Pitts)"
JanSeraph,Argentina,2001-03-07,,,Latin America,Top,"Camille,Wukong,Ornn,Akali",Top,False,False,1.0,JanSeraph
January,South Korea,1978-10-29,,,Korea,Manager,,CEO;General Manager,True,False,1.0,January
Janus (Eom Ye-jun),South Korea,2007-01-02,,Dplus KIA Academy,Korea,Top,,Top,False,False,1.0,"Janus (Eom Ye-jun), JJuny"
Janus (Özcan Gürbüz),Turkey,1999-08-30,Turkey,,EMEA,Coach,"Twisted Fate,Fizz,Azir,Veigar",Coach,False,False,1.0,Janus (Özcan Gürbüz)
Japanese Import,United States,1997-03-14,,,North America,Jungle,,Jungle,True,False,1.0,Japanese Import
Japone,Turkey,1997-12-23,Turkey,Misa Esports,EMEA,Coach,"Yuumi,Rakan,Alistar",Head Coach,False,False,1.0,"Japone, Clayoffensive"
Jaqen,Poland,1999-12-19,Europe,,EMEA,Top,"Fiora,Olaf",Top,False,False,1.0,"Jaqen, Jaqenik, King Barou"
Jara,Argentina,,Latin America South,,Latin America,Jungle,,Jungle,True,False,,Jara
Jarabe,Colombia,,,,Latin America,Jungle,,Jungle,True,False,,Jarabe
Jarabo,Spain,,,,EMEA,Jungle,,Jungle,False,False,,Jarabo
Jaraxxus,United States,,,University of Maryland College Park,North America,Top,,Top,False,False,,Jaraxxus
Jarge,United Kingdom,,Europe,SK Gaming Prime,EMEA,Coach,,Head Coach,False,False,,"Jarge, Teh Jarge"
JariDST,Netherlands,2003-08-07,,,EMEA,Top,,Top,False,False,1.0,JariDST
Jarra,Costa Rica,2001-07-22,,,Latin America,Top,"Aatrox,Riven,Kled,Irelia,Gnar",Top,True,False,1.0,Jarra
Jarro Light,Belgium,,,,Europe,Top,,Top,True,False,,Jarro Light
Jarvis,Vietnam,,,,Vietnam,Top,,Top,False,False,,"Jarvis, Dontwastime"
Jas,United States,,,,North America,Bot,,Bot,False,False,,"Jas, Jast"
Jaskier,Poland,2002-05-03,,,EMEA,Caster,"Karma,Kayle",Analyst,False,False,1.0,Jaskier
jaskrystian,Poland,2001-02-13,,,EMEA,Top,,Top,False,False,1.0,"Jaskrystian, Jaskrystian7777"
Jason (Kevin Yuquilema),Ecuador,,,,Latin America,Mid,,Mid,True,False,,Jason (Kevin Yuquilema)
Jason Jungle,United States,2003-01-03,,,North America,Jungle,,Jungle,True,False,1.0,Jason Jungle
Jason Kaplan,United States,1988-06-17,,,North America,Caster,,Caster,True,False,1.0,"Jason Kaplan, ButButButILY"
Jason Pan,China,,,,North America,Coach,,Head Coach,True,False,,Jason Pan
Jason the other,United States,,,,North America,Support,,Support,True,False,,Jason the other
Jasper (Christopher Paulus),Indonesia,,,,SEA,Mid,,Mid,True,False,,Jasper (Christopher Paulus)
Jasper (Keigo Tashima),Japan,1999-11-27,,,Japan,Bot,,Bot,True,False,1.0,"Jasper (Keigo Tashima), Jasper7se"
JaTien,Vietnam,,,,Vietnam,Substitute,,Substitute,True,False,,JaTien
Jatt,Canada,1987-06-08,,,North America,Caster,"Udyr,Trundle",Head Coach,False,False,1.0,Jatt
Jatt0,Canada,,,,North America,Support,,Support,True,False,,Jatt0
Jaunutis1,Lithuania,1998-12-12,Europe,,EMEA,Jungle,,Jungle,False,False,1.0,"Jaunutis1, JAUNATIS, JAUNUTiS"
Jauny,Costa Rica,2001-04-12,Latin America North,Leviatan,Latin America,Top,"Lucian,Fiora,Jax,Irelia",Top,False,False,1.0,"Jauny, Azhy (Jauny Vargas), Jaunyy, Tøp chai"
Java (Wei Yi-Fan),China,,,,China,Analyst,,Analyst,False,False,,Java (Wei Yi-Fan)
JaVaaa,Spain,1996-05-06,Europe,Falke Esports,EMEA,Bot,,Bot,False,False,1.0,"JaVaaa, JaVa (Francisco Javier Martínez Luque), Javaa"
Javier,Spain,,Europe,,EMEA,Mid,Zoe,Mid,False,False,,"Javier, Javier514, Jαvier"
Javii,United States,,,Florida Southern College,North America,Mid,,Mid,False,False,,Javii
Jawa,France,,Europe,Seaven Esports,EMEA,Mid,,Mid,False,False,,"Jawa, Jawoof"
Jaximus,United States,1994-05-25,,,North America,Mid,"Jax,Kha'Zix,Lee Sin",Mid,True,False,1.0,"Jaximus, Only Jaximus, OnlyJaximus"
Jay (Chen Bo),China,1999-08-12,,,China,Mid,,Mid,True,False,1.0,"Jay (Chen Bo), JayOvO"
Jay (Jasmin Ajanovic),Austria,,Europe,,EMEA,Coach,,Coach,False,False,,"Jay (Jasmin Ajanovic), Jay0"
JayJ,Canada,1997-09-13,,Fear x Starforge,North America,Support,,Support,False,False,1.0,"JayJ, JJ (Juan Guibert)"
JayJay,Poland,2003-09-29,Europe,42 Gaming,EMEA,Mid,"Hwei,Tristana,Ahri",Mid,False,False,1.0,"JayJay, 4B JayJ, JayJ (Jakub Pawlicki)"
Jayke,Australia,1996-04-17,Oceania,,Asia Pacific,Support,"Janna,Thresh,Braum,Lee Sin,Bard",Support,False,False,1.0,"Jayke, B1g r1chard, Jaykey"
Jaylink,France,2000-11-14,Europe,,EMEA,Bot,,Bot,True,False,1.0,Jaylink
JayNitro,United States,,,,North America,Top,,Top,True,False,,JayNitro
Jayoya,China,,,,North America,Top,,Top,True,False,,Jayoya
Jayrad,Spain,1998-09-17,Europe,,EMEA,Coach,,Strategic Coach,False,False,1.0,Jayrad
Jaysa,Tunisia,2000-05-15,Europe,MB x OUAT,EMEA,Support,"Janna,Nami,Lulu,Thresh",Support,False,False,1.0,Jaysa
JayZ,Taiwan,,,Pacific Challengers League,Asia Pacific,Caster,,Caster,False,False,,"JayZ, Jay (Luo Zi-Jie)"
Jazkit,Hong Kong,1989-11-27,Taiwan,,Asia Pacific,Manager,"Rumble,Irelia,Kennen,Gnar",Caster,False,False,1.0,"Jazkit, JKaE, KaE"
Jazu,Czech Republic,2003-03-16,Europe,,EMEA,Support,"Rakan,Vex",Support,False,False,1.0,Jazu
JazzC,Israel,1995-04-21,,,Europe,Support,"Pyke,Alistar,Gragas,Morgana,Rakan",Support,True,False,1.0,JazzC
jbdutchowns,Netherlands,1996-04-01,Europe,,EMEA,Mid,,Mid,False,False,1.0,"Jbdutchowns, Jbdutchown"
Jbear,Canada,,,Challenger Cookie Monsters,North America,Top,Darius,Top,False,False,,Jbear
Jbraggs,United States,,,Purdue University Northwest,North America,Coach,,Director,False,False,,Jbraggs
Jbzz,France,,,,Europe,Mid,"Brand,Ziggs,Ekko",Mid,True,False,,Jbzz
Jc (Jiang Cheng),China,,,,China,Coach,,Coach,False,False,,Jc (Jiang Cheng)
Jcain,Taiwan,,,,LMS,Jungle,"Kha'Zix,Lee Sin,Pantheon",Jungle,True,False,,"Jcain, JC (Huang Po-Chun), JCoin"
JChow,United States,,,,North America,Bot,,Mid,True,False,,JChow
Jcom,Vietnam,,,Team Secret (Vietnamese Team),Vietnam,Jungle,,Jungle,False,False,,Jcom
Jcool,Vietnam,2001-11-27,,,Vietnam,Support,,Support,False,False,1.0,"Jcool, Gund, Rodep"
JDG (Manuel Soares),France,1998-11-09,Europe,,EMEA,Top,Gnar,Assistant Coach,False,False,1.0,"JDG (Manuel Soares), JDGnar, JeanDidierGnar"
JDLoL,,,,,Europe,Bot,,Jungle,True,False,,JDLoL
JDLoL (JD Nueces),United States,,,,North America,Coach,,Head Coach,True,False,,JDLoL (JD Nueces)
JDM,China,,,,China,Jungle,,Jungle,True,False,,JDM
JDMK,Poland,,Europe,,EMEA,Jungle,,Jungle,False,False,,"JDMK, JDamianek"
JDS,China,,,,China,Jungle,,Jungle,True,False,,JDS
Je60Chleb,Poland,,,,EMEA,Coach,,Assistant Coach,False,False,,Je60Chleb
Jealow,Peru,1999-06-08,,,Latin America,Support,,Support,True,False,1.0,"Jealow, Amarillo"
Jean (Jean Ortega),Colombia,2004-05-13,,Waia Snikt,Latin America,Jungle,,Jungle,False,False,1.0,Jean (Jean Ortega)
Jean (Jean Paul Alvarado),Costa Rica,,,,Latin America,Bot,,Bot,True,False,,Jean (Jean Paul Alvarado)
Jean Francois,Canada,,,,North America,Support,"Rell,Alistar,Seraphine,Taric,Nautilus",Support,False,False,,Jean Francois
Jean Mago,Brazil,2004-01-12,,,Brazil,Mid,"Irelia,Jayce,Akali,Yasuo,Lucian",Mid,True,False,1.0,Jean Mago
Jebem,United States,,,,North America,Top,,Top,False,False,,Jebem
Jeconns,Turkey,2001-11-05,Turkey,,EMEA,Coach,"Renekton,Xin Zhao,Tristana,Ashe,Caitlyn",Analyst,True,False,1.0,Jeconns
Jeeno,Denmark,,,,Europe,Support,,Support,True,False,,Jeeno
Jeesun,South Korea,1995-06-28,,Riot Games Inc.,Korea,Broadcast Talent,,translator,False,False,1.0,"Jeesun, Zeetwo"
Jeezer,Mexico,,,,Latin America,Coach,,Head Coach,False,False,,Jeezer
Jeff (Carlos Pinho),Portugal,1996-02-06,,,EMEA,Coach,"Ezreal,Jayce,Dr. Mundo,Irelia",Coach,False,False,1.0,"Jeff (Carlos Pinho), JeffoRei"
JeFF (Frank Felles),Peru,,,,Latin America,Jungle,,Jungle,True,False,,JeFF (Frank Felles)
Jeff (Jefry Granados),Costa Rica,1999-09-09,,,Latin America,Jungle,Lee Sin,Jungle,True,False,1.0,"Jeff (Jefry Granados), Jeff506"
Jeff (Vương Xuân Đức),Vietnam,,Southeast Asia,FPT Hanoi,Vietnam,Bot,"Vayne,Lucian,Draven",Bot,False,False,,Jeff (Vương Xuân Đức)
JeffLee,China,1999-03-26,,,China,Top,,Top,True,False,1.0,"JeffLee, Jeff (Li Jia-Feng)"
Jeffrey,Netherlands,1999-07-19,Europe,,EMEA,Coach,"Lucian,Vayne,Vladimir",Coach,False,False,1.0,"Jeffrey, XFang"
JeiiZe,Mexico,1995-09-24,Latin America North,Tomorrow Esports,Latin America,Manager,"Poppy,Singed,Jax,Rumble",Support,False,False,1.0,"JeiiZe, Coffey, Papo"
Jejky,Czech Republic,1998-08-26,Europe,Dynamo Eclot,EMEA,Jungle,"Kha'Zix,Lee Sin,Jarvan IV",Jungle,False,False,1.0,Jejky
Jekko (Jemal Revazishvili),Georgia,,Europe,,EMEA,Jungle,,Jungle,False,False,,Jekko (Jemal Revazishvili)
Jekyll,Czech Republic,,,,Europe,Support,,Bot,True,True,,"Jekyll, Jekylla, Jkl"
Jellal,Australia,,Oceania,Team Bliss,Asia Pacific,Coach,,Assistant Coach,False,False,,Jellal
Jellou,Czech Republic,,Europe,,EMEA,Jungle,,Jungle,False,False,,"Jellou, Pact"
Jelly (Gwak Seok-ho),South Korea,,,,Korea,Support,,Support,True,False,,Jelly (Gwak Seok-ho)
Jelly (Son Ho-gyeong),South Korea,1997-10-18,,,Korea,Support,"Rakan,Ornn,Thresh",Support,False,False,1.0,"Jelly (Son Ho-gyeong), Jeliy, Jelly1"
JellyJac,United States,,,,North America,Bot,,Bot,False,False,,JellyJac
Jellyray,Poland,,,,Europe,Support,,Support,True,False,,Jellyray
Jellyyyyyy,Germany,,,,Europe,Mid,,Mid,True,False,,Jellyyyyyy
Jelu,Bulgaria,,Europe,,EMEA,Jungle,,Jungle,False,False,,"Jelu, Jellu"
Jelyfish,Tunisia,,,,EMEA,Caster,,Content Creator,True,False,,Jelyfish
Jemusi,Canada,,,,North America,Bot,,Bot,True,False,,Jemusi
Jendyy,Czech Republic,,,,EMEA,Support,,Support,False,False,,Jendyy
Jeníkk,Czech Republic,2004-03-26,Europe,Parakeet Gaming,EMEA,Mid,"Zoe,Jayce,Syndra,Akali",Mid,False,False,1.0,"Jeníkk, Jeník"
Jenk,Iceland,1998-11-20,,,Europe,Support,,Support,True,False,1.0,Jenk
Jenkins,United States,1999-09-23,,Fisher College,North America,Top,Kennen,Top,False,False,1.0,"Jenkins, BobJenkins"
Jennie,Mexico,,,,Latin America,Bot,,Substitute,False,False,,Jennie
jeno,Thailand,,,,SEA,Jungle,,Jungle,True,False,,Jeno
Jens,Sweden,,Europe,,EMEA,Jungle,,Jungle,False,False,,Jens
Jensen,Denmark,1995-01-01,Europe,Dignitas,North America,Mid,"Zed,Fizz,Veigar,Azir",Mid,False,False,1.0,"Jensen, Incarnati0n, Incarnation, Veigodx"
Jensen Goh,Singapore,,Southeast Asia,,Asia Pacific,Analyst,,Analyst,True,False,,"Jensen Goh, Jensen (Jensen Goh)"
Jensonn,United States,1997-11-02,,,North America,Support,"Senna,Rakan,Thresh",Support,False,False,1.0,Jensonn
Jenvi,Philippines,,,,SEA,Bot,,Bot,True,False,,Jenvi
